date,min_flow_cfs_license,min_flow_cfs_actual,source
2025-08-18,3200,3200,license_base
2025-08-19,3200,3200,license_base
2025-08-20,3200,3200,license_base
2025-08-21,3200,3200,license_base
2025-08-22,3200,3200,license_base
2025-08-23,3200,3200,license_base
2025-08-24,3200,3200,license_base
2025-08-25,3200,3200,license_base
2025-08-26,3200,3200,license_base
2025-08-27,3200,3200,license_base
2025-08-28,3200,3200,license_base
2025-08-29,3200,3200,license_base
2025-08-30,3200,3200,license_base
2025-08-31,3200,3200,license_base
2025-09-01,3200,3200,license_base
2025-09-02,3200,3200,license_base
2025-09-03,3200,3200,license_base
2025-09-04,3200,3200,license_base
2025-09-05,3200,3200,license_base
2025-09-06,3200,3200,license_base
2025-09-07,3200,3200,license_base
2025-09-08,3200,3200,license_base
2025-09-09,3200,3200,license_base
2025-09-10,3200,3200,license_base
2025-09-11,3200,3200,license_base
2025-09-12,3200,3200,license_base
2025-09-13,3200,3200,license_base
2025-09-14,3200,3200,license_base
2025-09-15,3200,3200,license_base
2025-09-16,3200,3200,license_base
2025-09-17,3200,3200,license_base
2025-09-18,3200,3200,license_base
2025-09-19,3200,3200,license_base
2025-09-20,3200,3200,license_base
2025-09-21,3200,3200,license_base
2025-09-22,3200,3200,license_base
2025-09-23,3200,3200,license_base
2025-09-24,3200,3200,license_base
2025-09-25,3200,3200,license_base
2025-09-26,3200,3200,license_base
2025-09-27,3200,3200,license_base
2025-09-28,3200,3200,license_base
2025-09-29,3200,3200,license_base
2025-09-30,3200,3200,license_base
2025-10-01,3200,3200,license_base
2025-10-02,3200,3200,license_base
2025-10-03,3200,3200,license_base
2025-10-04,3200,3200,license_base
2025-10-05,3200,3200,license_base
2025-10-06,3200,3200,license_base
2025-10-07,3200,3200,license_base
2025-10-08,3200,3200,license_base
2025-10-09,3200,3200,license_base
2025-10-10,3200,3200,license_base
2025-10-11,3200,3200,license_base
2025-10-12,3200,3200,license_base
2025-10-13,3200,3200,license_base
2025-10-14,3200,3200,license_base
2025-10-15,3200,3200,license_base
2025-10-16,3200,3200,license_base
2025-10-17,3200,3200,license_base
2025-10-18,3200,3200,license_base
2025-10-19,3200,3200,license_base
2025-10-20,3200,3200,license_base
2025-10-21,3200,3200,license_base
2025-10-22,3200,3200,license_base
2025-10-23,3200,3200,license_base
2025-10-24,3200,3200,license_base
2025-10-25,3200,3200,license_base
2025-10-26,3200,3200,license_base
2025-10-27,3200,3200,license_base
2025-10-28,3200,3200,license_base
2025-10-29,3200,3200,license_base
2025-10-30,3200,3200,license_base
2025-10-31,3200,3200,license_base
2025-11-01,3200,3200,license_base
2025-11-02,3200,3200,license_base
2025-11-03,3200,3200,license_base
2025-11-04,3200,3200,license_base
2025-11-05,3200,3200,license_base
2025-11-06,3200,3200,license_base
2025-11-07,3200,3200,license_base
2025-11-08,3200,3200,license_base
2025-11-09,3200,3200,license_base
2025-11-10,3200,3200,license_base
2025-11-11,3200,3200,license_base
2025-11-12,3200,3200,license_base
2025-11-13,3200,3200,license_base
2025-11-14,3200,3200,license_base
2025-11-15,3200,3200,license_base
2025-11-16,3200,3200,license_base
2025-11-17,3200,3200,license_base
2025-11-18,3200,3200,license_base
2025-11-19,3200,3200,license_base
2025-11-20,3200,3200,license_base
2025-11-21,3200,3200,license_base
2025-11-22,3200,3200,license_base
2025-11-23,3200,3200,license_base
2025-11-24,3200,3200,license_base
2025-11-25,3200,3200,license_base
2025-11-26,3200,3200,license_base
2025-11-27,3200,3200,license_base
2025-11-28,3200,3200,license_base
2025-11-29,3200,3200,license_base
2025-11-30,3200,3200,license_base
2025-12-01,3200,3200,license_base
2025-12-02,3200,3200,license_base
2025-12-03,3200,3200,license_base
2025-12-04,3200,3200,license_base
2025-12-05,3200,3200,license_base
2025-12-06,3200,3200,license_base
2025-12-07,3200,3200,license_base
2025-12-08,3200,3200,license_base
2025-12-09,3200,3200,license_base
2025-12-10,3200,3200,license_base
2025-12-11,3200,3200,license_base
2025-12-12,3200,3200,license_base
2025-12-13,3200,3200,license_base
2025-12-14,3200,3200,license_base
2025-12-15,3200,3200,license_base
2025-12-16,3200,3200,license_base
2025-12-17,3200,3200,license_base
2025-12-18,3200,3200,license_base
2025-12-19,3200,3200,license_base
2025-12-20,3200,3200,license_base
2025-12-21,3200,3200,license_base
2025-12-22,3200,3200,license_base
2025-12-23,3200,3200,license_base
2025-12-24,3200,3200,license_base
2025-12-25,3200,3200,license_base
2025-12-26,3200,3200,license_base
2025-12-27,3200,3200,license_base
2025-12-28,3200,3200,license_base
2025-12-29,3200,3200,license_base
2025-12-30,3200,3200,license_base
2025-12-31,3200,3200,license_base
